Mean Interarrival Time

Worker: 8

2 Clients: 5.26777333912
8 Clients: 1.33629298969
16 Clients: 0.720027337278
24 Clients: 0.504365472982
32 Clients: 0.39340810761
40 Clients: 0.387787012379
48 Clients: 0.414362731047
56 Clients: 0.401338402884
64 Clients: 0.409987245997
90 Clients: 0.378608078442
120 Clients: 0.38929790439
170 Clients: 0.395241218664
220 Clients: 0.406860165434

Worker: 16

2 Clients: 5.13509135282
8 Clients: 1.3003590972
16 Clients: 0.709865227725
24 Clients: 0.477009445938
32 Clients: 0.372768585493
40 Clients: 0.312907654451
48 Clients: 0.254797456191
56 Clients: 0.241411958298
64 Clients: 0.20474002585
90 Clients: 0.223297332516
120 Clients: 0.196534415178
170 Clients: 0.205239988181
220 Clients: 0.204620518694

Worker: 32

2 Clients: 5.14248774314
8 Clients: 1.33517162224
16 Clients: 0.697855000138
24 Clients: 0.470040345774
32 Clients: 0.372202733879
40 Clients: 0.29043505369
48 Clients: 0.238087260148
56 Clients: 0.217093210024
64 Clients: 0.192188583318
90 Clients: 0.162282238063
120 Clients: 0.139981598705
170 Clients: 0.135187687174
220 Clients: 0.132323593135

Worker: 64

2 Clients: 5.11887331783
8 Clients: 1.30652099768
16 Clients: 0.673686963405
24 Clients: 0.452673367637
32 Clients: 0.348321408331
40 Clients: 0.284220710374
48 Clients: 0.244586663052
56 Clients: 0.212461819333
64 Clients: 0.181136843762
90 Clients: 0.153919549401
120 Clients: 0.137606756588
170 Clients: 0.116700686593
220 Clients: 0.119856841681
