Mean Service Time

Worker: 8

2 Clients: 3.49309560795
8 Clients: 3.80217526834
16 Clients: 3.19095363112
24 Clients: 3.1281908923
32 Clients: 3.06254862578
40 Clients: 3.10320678559
48 Clients: 3.05543850329
56 Clients: 3.03212824025
64 Clients: 3.39277008199
90 Clients: 3.24178288334
120 Clients: 3.15114572697
170 Clients: 3.12361042625
220 Clients: 3.15904779473

Worker: 16

2 Clients: 3.41860400877
8 Clients: 4.01495448
16 Clients: 3.18092081515
24 Clients: 3.24550549825
32 Clients: 3.44301650326
40 Clients: 3.28435109101
48 Clients: 3.46541480507
56 Clients: 3.14240570948
64 Clients: 3.41906272619
90 Clients: 3.27815833234
120 Clients: 3.71381935896
170 Clients: 3.3352912975
220 Clients: 3.36990293652

Worker: 32

2 Clients: 3.59251099007
8 Clients: 3.19574719851
16 Clients: 3.05487227334
24 Clients: 2.95651534065
32 Clients: 3.08600010241
40 Clients: 2.99709956718
48 Clients: 3.0569714389
56 Clients: 3.49209001597
64 Clients: 3.47366623783
90 Clients: 3.63517104341
120 Clients: 3.4317158303
170 Clients: 3.95511139357
220 Clients: 3.80296644355

Worker: 64

2 Clients: 3.29232349564
8 Clients: 3.51954407595
16 Clients: 3.0786746184
24 Clients: 3.16323202726
32 Clients: 3.10110833672
40 Clients: 3.74410188515
48 Clients: 3.62937759243
56 Clients: 3.15955248389
64 Clients: 2.96450852164
90 Clients: 3.72506793125
120 Clients: 4.72803137158
170 Clients: 5.25008148481
220 Clients: 6.05735136204
