Mean Waiting Time

Worker: 8

2 Clients: 0.257431998763
8 Clients: 0.382032863539
16 Clients: 1.49161643323
24 Clients: 3.14039026702
32 Clients: 4.9046018299
40 Clients: 7.39435608448
48 Clients: 10.2766370967
56 Clients: 13.2330243783
64 Clients: 18.4436030984
90 Clients: 28.1647016615
120 Clients: 39.0189231311
170 Clients: 57.9286583159
220 Clients: 77.5381862372

Worker: 16

2 Clients: 0.195277573815
8 Clients: 0.466425654046
16 Clients: 0.423542272689
24 Clients: 1.12359376695
32 Clients: 1.63355038487
40 Clients: 2.5194276486
48 Clients: 3.53214299128
56 Clients: 4.08734154077
64 Clients: 5.50526341722
90 Clients: 9.88576415863
120 Clients: 17.7559585893
170 Clients: 26.5705661789
220 Clients: 37.0643900224

Worker: 32

2 Clients: 0.245311866387
8 Clients: 0.380055528526
16 Clients: 0.486180627221
24 Clients: 0.595259965898
32 Clients: 0.661287086619
40 Clients: 1.03576547297
48 Clients: 1.3771286278
56 Clients: 1.67851129758
64 Clients: 1.91035905544
90 Clients: 3.54011567327
120 Clients: 4.98538534227
170 Clients: 11.1702711567
220 Clients: 15.6449278098

Worker: 64

2 Clients: 0.355940038273
8 Clients: 0.397924455148
16 Clients: 0.565242824015
24 Clients: 0.676749040877
32 Clients: 0.829542940478
40 Clients: 1.00216044401
48 Clients: 1.20764609941
56 Clients: 1.23286403079
64 Clients: 1.07022788105
90 Clients: 1.9878236676
120 Clients: 2.82971430496
170 Clients: 4.78114816379
220 Clients: 7.51302862945
