Mean Processing Time

Worker: 8

2 Clients: 3.16849630158
8 Clients: 2.36929356588
16 Clients: 2.40748404463
24 Clients: 2.1424088989
32 Clients: 2.31034640105
40 Clients: 2.31505052521
48 Clients: 2.40312371166
56 Clients: 2.26705891479
64 Clients: 2.2297510043
90 Clients: 2.07948774571
120 Clients: 2.25027725261
170 Clients: 2.12290759337
220 Clients: 2.2298597726

Worker: 16

2 Clients: 3.34141358862
8 Clients: 2.6061141041
16 Clients: 2.24567912701
24 Clients: 2.50522438119
32 Clients: 2.52652027838
40 Clients: 2.77175660725
48 Clients: 2.8110924488
56 Clients: 2.8299757963
64 Clients: 2.91149860601
90 Clients: 2.94985461397
120 Clients: 3.13633489505
170 Clients: 3.11251284697
220 Clients: 3.19508669714

Worker: 32

2 Clients: 3.95100837094
8 Clients: 2.47009828362
16 Clients: 2.36218087297
24 Clients: 2.49560384778
32 Clients: 2.50543609469
40 Clients: 2.69805643148
48 Clients: 2.69663339603
56 Clients: 3.06620792029
64 Clients: 3.15855073026
90 Clients: 3.56328271438
120 Clients: 4.07855644707
170 Clients: 4.51617653694
220 Clients: 4.85468772858

Worker: 64

2 Clients: 3.10351534673
8 Clients: 2.53247272753
16 Clients: 2.49650577857
24 Clients: 2.59551856345
32 Clients: 2.81246377767
40 Clients: 2.89081962506
48 Clients: 3.2132421608
56 Clients: 3.30488496681
64 Clients: 3.50082056414
90 Clients: 4.07957336316
120 Clients: 4.68519838731
170 Clients: 5.72127660431
220 Clients: 6.63799785261
