Mean Response Time

Worker: 8

2 Clients: 4.11021924034
8 Clients: 3.66996796195
16 Clients: 3.95088448563
24 Clients: 3.44783718326
32 Clients: 4.12967093905
40 Clients: 4.91375246125
48 Clients: 6.0654909964
56 Clients: 6.60082856669
64 Clients: 7.36077802865
90 Clients: 10.0323615251
120 Clients: 15.0690530767
170 Clients: 20.3825176426
220 Clients: 28.9199215435

Worker: 16

2 Clients: 4.28504442046
8 Clients: 3.86238380083
16 Clients: 3.36199190383
24 Clients: 4.02508358052
32 Clients: 4.05160653996
40 Clients: 4.84542144936
48 Clients: 4.86511033576
56 Clients: 4.97425923213
64 Clients: 5.5334708236
90 Clients: 6.65504572738
120 Clients: 9.34928244632
170 Clients: 13.2406857886
220 Clients: 17.886068809

Worker: 32

2 Clients: 5.08616648043
8 Clients: 3.40250417726
16 Clients: 3.38246719955
24 Clients: 3.71174028891
32 Clients: 3.79269215202
40 Clients: 4.19649586844
48 Clients: 4.10782819243
56 Clients: 4.97221332873
64 Clients: 5.04780823332
90 Clients: 6.24320438043
120 Clients: 7.78186167478
170 Clients: 10.2800926196
220 Clients: 13.3147344697

Worker: 64

2 Clients: 3.99112898434
8 Clients: 3.50063226419
16 Clients: 3.61442780159
24 Clients: 3.83858780731
32 Clients: 4.29325717281
40 Clients: 4.37811380238
48 Clients: 4.95861383077
56 Clients: 5.22791233635
64 Clients: 5.58585775939
90 Clients: 6.82441078492
120 Clients: 8.19931259665
170 Clients: 10.905127034
220 Clients: 12.9729882004
