Mean Service Time

Worker: 8

2 Clients: 3.3654409925
8 Clients: 2.49807067594
16 Clients: 2.53451650951
24 Clients: 2.26546791338
32 Clients: 2.42871300961
40 Clients: 2.44373424432
48 Clients: 2.53550439412
56 Clients: 2.38782919052
64 Clients: 2.35582031797
90 Clients: 2.20286825804
120 Clients: 2.38164619917
170 Clients: 2.2481174473
220 Clients: 2.36145554857

Worker: 16

2 Clients: 3.5559270498
8 Clients: 2.75061399172
16 Clients: 2.37687311146
24 Clients: 2.64342900334
32 Clients: 2.66132807996
40 Clients: 2.91210800184
48 Clients: 2.95568599433
56 Clients: 2.97762481891
64 Clients: 3.05982472244
90 Clients: 3.1070885887
120 Clients: 3.3263366105
170 Clients: 3.32173888243
220 Clients: 3.40001234392

Worker: 32

2 Clients: 4.18490818471
8 Clients: 2.61260257024
16 Clients: 2.49253076878
24 Clients: 2.63441118895
32 Clients: 2.64450520397
40 Clients: 2.83864970952
48 Clients: 2.82322763375
56 Clients: 3.21211064066
64 Clients: 3.31667073168
90 Clients: 3.73179203957
120 Clients: 4.26976875258
170 Clients: 4.74389949857
220 Clients: 5.10270916565

Worker: 64

2 Clients: 3.30978912131
8 Clients: 2.68103170212
16 Clients: 2.64378329607
24 Clients: 2.74176275544
32 Clients: 2.95947870177
40 Clients: 3.04714168932
48 Clients: 3.37058665856
56 Clients: 3.46495871329
64 Clients: 3.67406413783
90 Clients: 4.26469421685
120 Clients: 4.89802391397
170 Clients: 5.97045188744
220 Clients: 6.90579447328
