Mean Total Time

Worker: 8

2 Clients: 4.1659046954
8 Clients: 3.69640823382
16 Clients: 3.97579553782
24 Clients: 3.4713903619
32 Clients: 4.15377122795
40 Clients: 4.94063364683
48 Clients: 6.0926522389
56 Clients: 6.62709638498
64 Clients: 7.38815704309
90 Clients: 10.0570152016
120 Clients: 15.0943192465
170 Clients: 20.4089365161
220 Clients: 28.9490122025

Worker: 16

2 Clients: 4.33842827691
8 Clients: 3.89076530189
16 Clients: 3.38494338953
24 Clients: 4.04889959425
32 Clients: 4.07563398323
40 Clients: 4.87040273258
48 Clients: 4.8897747194
56 Clients: 5.0019284288
64 Clients: 5.56041577584
90 Clients: 6.68399747957
120 Clients: 9.37963794923
170 Clients: 13.2706182821
220 Clients: 17.9174105445

Worker: 32

2 Clients: 5.1518282358
8 Clients: 3.42878920556
16 Clients: 3.40547997654
24 Clients: 3.7352993737
32 Clients: 3.81669505538
40 Clients: 4.22064609168
48 Clients: 4.13017965987
56 Clients: 4.99781104264
64 Clients: 5.07368432842
90 Clients: 6.26965226084
120 Clients: 7.80893546693
170 Clients: 10.3094098409
220 Clients: 13.3453572653

Worker: 64

2 Clients: 4.04391308622
8 Clients: 3.52893128056
16 Clients: 3.6393866865
24 Clients: 3.86139500611
32 Clients: 4.31671941851
40 Clients: 4.40195744474
48 Clients: 4.98382069159
56 Clients: 5.25385529351
64 Clients: 5.61004804744
90 Clients: 6.85057947951
120 Clients: 8.22646649822
170 Clients: 10.9333080099
220 Clients: 13.0024315843
