Mean Processing Time

Worker: 8

2 Clients: 1.41011675655
8 Clients: 1.46688351411
16 Clients: 1.48507242676
24 Clients: 1.47128746237
32 Clients: 1.49771227493
40 Clients: 1.45356075537
48 Clients: 1.49165158267
56 Clients: 1.59250808674
64 Clients: 1.52655947098
90 Clients: 1.57574474978
120 Clients: 1.57446583581
170 Clients: 1.58974178971
220 Clients: 1.60611023049

Worker: 16

2 Clients: 1.44129850981
8 Clients: 1.48272280663
16 Clients: 1.44188318524
24 Clients: 1.52421841934
32 Clients: 1.6716182576
40 Clients: 1.67476439595
48 Clients: 1.80150848479
56 Clients: 1.90206745334
64 Clients: 2.00582939469
90 Clients: 2.24444265953
120 Clients: 2.43359745706
170 Clients: 2.60322686907
220 Clients: 2.64677580177

Worker: 32

2 Clients: 1.40553456943
8 Clients: 1.44483801804
16 Clients: 1.47536063034
24 Clients: 1.47001058642
32 Clients: 1.61114474695
40 Clients: 1.72955837094
48 Clients: 1.92539273823
56 Clients: 2.11759348068
64 Clients: 2.39276128599
90 Clients: 2.80599924018
120 Clients: 3.33736552239
170 Clients: 3.92002868707
220 Clients: 4.18676496624

Worker: 64

2 Clients: 1.48254265652
8 Clients: 1.49891964184
16 Clients: 1.45678403848
24 Clients: 1.6232276905
32 Clients: 1.69699091389
40 Clients: 1.84228842637
48 Clients: 2.11885568678
56 Clients: 2.23435850749
64 Clients: 2.41178236538
90 Clients: 3.15637834017
120 Clients: 3.8191445218
170 Clients: 4.87814447642
220 Clients: 5.73791887829
