Mean Response Time

Worker: 8

2 Clients: 1.66107386118
8 Clients: 1.7810580069
16 Clients: 1.8812490359
24 Clients: 2.11052601206
32 Clients: 2.38350104845
40 Clients: 2.94077798489
48 Clients: 3.58109469283
56 Clients: 4.4525482708
64 Clients: 4.8852530948
90 Clients: 7.27883048793
120 Clients: 9.9027010955
170 Clients: 14.8677790169
220 Clients: 20.0790230092

Worker: 16

2 Clients: 1.6940091885
8 Clients: 1.81065754794
16 Clients: 1.85653032833
24 Clients: 2.04631037056
32 Clients: 2.31173692982
40 Clients: 2.44773172999
48 Clients: 2.75602721133
56 Clients: 3.06602195606
64 Clients: 3.45486055141
90 Clients: 5.1859107421
120 Clients: 7.31360540845
170 Clients: 10.9569313211
220 Clients: 14.8872777688

Worker: 32

2 Clients: 1.64264508927
8 Clients: 1.77187443317
16 Clients: 1.90108845486
24 Clients: 1.98389535892
32 Clients: 2.20216419221
40 Clients: 2.41233246722
48 Clients: 2.73245122993
56 Clients: 3.03067380747
64 Clients: 3.40864107201
90 Clients: 4.31890839609
120 Clients: 5.76075441542
170 Clients: 8.37416030367
220 Clients: 10.9791832416

Worker: 64

2 Clients: 1.75360909942
8 Clients: 1.82424810969
16 Clients: 1.89876385154
24 Clients: 2.19974079408
32 Clients: 2.36530218929
40 Clients: 2.58147901279
48 Clients: 3.00476369773
56 Clients: 3.2030289138
64 Clients: 3.44709030709
90 Clients: 4.51345707728
120 Clients: 5.60511675952
170 Clients: 7.4862678403
220 Clients: 9.54194425454
