Mean Total Time

Worker: 8

2 Clients: 1.70201563815
8 Clients: 1.80824474394
16 Clients: 1.90536244289
24 Clients: 2.1351037649
32 Clients: 2.40767942164
40 Clients: 2.96428603604
48 Clients: 3.60448747477
56 Clients: 4.47616955256
64 Clients: 4.90820001941
90 Clients: 7.30199289294
120 Clients: 9.92569145363
170 Clients: 14.8914189627
220 Clients: 20.1016286681

Worker: 16

2 Clients: 1.73284335109
8 Clients: 1.83706899618
16 Clients: 1.88142674564
24 Clients: 2.07045046357
32 Clients: 2.33571606416
40 Clients: 2.47264862119
48 Clients: 2.78316982029
56 Clients: 3.09146323293
64 Clients: 3.47891615551
90 Clients: 5.2099726303
120 Clients: 7.33752181857
170 Clients: 10.9812258483
220 Clients: 14.9103241203

Worker: 32

2 Clients: 1.68558783009
8 Clients: 1.79849471528
16 Clients: 1.92488305789
24 Clients: 2.0085232797
32 Clients: 2.22741599289
40 Clients: 2.43877367991
48 Clients: 2.75772799372
56 Clients: 3.05739036701
64 Clients: 3.43531924588
90 Clients: 4.34636898906
120 Clients: 5.78656217408
170 Clients: 8.39986292694
220 Clients: 11.0050783967

Worker: 64

2 Clients: 1.79656334805
8 Clients: 1.8528020236
16 Clients: 1.92504785719
24 Clients: 2.22629203407
32 Clients: 2.39302031073
40 Clients: 2.6080586725
48 Clients: 3.03235985337
56 Clients: 3.23296510939
64 Clients: 3.47600604997
90 Clients: 4.54441815033
120 Clients: 5.6351448087
170 Clients: 7.51460662098
220 Clients: 9.56982320919
