Mean Interarrival Time

Worker: 8

6 Clients: 1.79276716511
24 Clients: 0.560310149202
48 Clients: 0.38550530025
72 Clients: 0.353212648733
96 Clients: 0.360052830294
120 Clients: 0.342993665408
144 Clients: 0.353715923075
168 Clients: 0.370994157288
192 Clients: 0.353254122015
240 Clients: 0.364987909519

Worker: 16

6 Clients: 1.7162827067
24 Clients: 0.5242640929
48 Clients: 0.363064678899
72 Clients: 0.314699145681
96 Clients: 0.31129362612
120 Clients: 0.297093057766
144 Clients: 0.309064820578
168 Clients: 0.303737060178
192 Clients: 0.303975054741
240 Clients: 0.310553815554

Worker: 32

6 Clients: 1.55971290618
24 Clients: 0.528963294574
48 Clients: 0.35476558869
72 Clients: 0.292444922784
96 Clients: 0.283591639018
120 Clients: 0.256728968021
144 Clients: 0.254095980366
168 Clients: 0.256372397032
192 Clients: 0.247863225248
240 Clients: 0.242395432259

Worker: 64

6 Clients: 1.57127812761
24 Clients: 0.541873077442
48 Clients: 0.362777167923
72 Clients: 0.303625130729
96 Clients: 0.270821188413
120 Clients: 0.251491370634
144 Clients: 0.238954322037
168 Clients: 0.22506464831
192 Clients: 0.213323693741
240 Clients: 0.215232833297
