Mean Response Time

Worker: 8

6 Clients: 2.60287503024
24 Clients: 3.35839880909
48 Clients: 5.72736660599
72 Clients: 8.92348471564
96 Clients: 13.5341628553
120 Clients: 16.6083901643
144 Clients: 21.5000699228
168 Clients: 26.7888288472
192 Clients: 30.093267503
240 Clients: 39.9906424483

Worker: 16

6 Clients: 2.43251798134
24 Clients: 3.31475517129
48 Clients: 5.15010482624
72 Clients: 7.42095497373
96 Clients: 10.436869972
120 Clients: 13.9364377438
144 Clients: 17.2425167732
168 Clients: 20.6259526254
192 Clients: 24.1701892602
240 Clients: 32.7443271935

Worker: 32

6 Clients: 2.03698426095
24 Clients: 3.36477462145
48 Clients: 4.83583967996
72 Clients: 6.34935994153
96 Clients: 8.87841727512
120 Clients: 10.2695650423
144 Clients: 12.9449138778
168 Clients: 15.9030558036
192 Clients: 18.4183930802
240 Clients: 22.6430811955

Worker: 64

6 Clients: 2.18063531836
24 Clients: 3.5368711356
48 Clients: 5.18799778932
72 Clients: 6.90334224331
96 Clients: 8.25604763858
120 Clients: 10.1699951984
144 Clients: 11.8231476297
168 Clients: 12.9019715024
192 Clients: 14.8193918355
240 Clients: 19.150834323
