Mean Total Time

Worker: 8

6 Clients: 2.62984385439
24 Clients: 3.38381300006
48 Clients: 5.75218205861
72 Clients: 8.94715859371
96 Clients: 13.5598696749
120 Clients: 16.6308523781
144 Clients: 21.5316214161
168 Clients: 26.8234656405
192 Clients: 30.1243544473
240 Clients: 40.0198928197

Worker: 16

6 Clients: 2.46225279671
24 Clients: 3.34180323501
48 Clients: 5.17804338965
72 Clients: 7.44768853795
96 Clients: 10.4658487304
120 Clients: 13.9619693808
144 Clients: 17.2786689245
168 Clients: 20.6530734096
192 Clients: 24.2001799017
240 Clients: 32.7741991374

Worker: 32

6 Clients: 2.0673693777
24 Clients: 3.39317878489
48 Clients: 4.8654977139
72 Clients: 6.37795887733
96 Clients: 8.9078408439
120 Clients: 10.2995715038
144 Clients: 12.9803952756
168 Clients: 15.9378989301
192 Clients: 18.4463512365
240 Clients: 22.6753930823

Worker: 64

6 Clients: 2.21222318314
24 Clients: 3.56571053127
48 Clients: 5.21853917765
72 Clients: 6.93268636845
96 Clients: 8.28581943378
120 Clients: 10.2034311097
144 Clients: 11.8541870077
168 Clients: 12.934684251
192 Clients: 14.8517043823
240 Clients: 19.1884364811
