Mean Waiting Time

Worker: 8

6 Clients: 0.471892131403
24 Clients: 1.04355131709
48 Clients: 3.32022166116
72 Clients: 6.40469031703
96 Clients: 10.7693160896
120 Clients: 13.9325714635
144 Clients: 18.7115547341
168 Clients: 23.8560129868
192 Clients: 27.2803746808
240 Clients: 37.0926255895

Worker: 16

6 Clients: 0.440755427385
24 Clients: 0.58854134049
48 Clients: 1.62645694332
72 Clients: 3.45510587865
96 Clients: 6.15183131622
120 Clients: 9.46363077372
144 Clients: 12.6185040466
168 Clients: 15.9366764831
192 Clients: 19.4431677575
240 Clients: 27.8642759964

Worker: 32

6 Clients: 0.305394790279
24 Clients: 0.72695294445
48 Clients: 1.03945707624
72 Clients: 1.63426955714
96 Clients: 3.15199108507
120 Clients: 4.21660383411
144 Clients: 6.24713959812
168 Clients: 8.65080270176
192 Clients: 11.099897233
240 Clients: 15.40026064

Worker: 64

6 Clients: 0.319013621504
24 Clients: 0.776371534728
48 Clients: 1.27173178881
72 Clients: 1.73612668134
96 Clients: 2.25442414114
120 Clients: 2.87033497594
144 Clients: 3.60995654409
168 Clients: 4.22783552867
192 Clients: 5.28556441339
240 Clients: 8.13032725875
