Mean Processing Time

Worker: 8

2 Clients: 3.60630923173
8 Clients: 3.56310038146
16 Clients: 3.48829895568
24 Clients: 3.23479221604
32 Clients: 2.93831995085
40 Clients: 3.0452772142
48 Clients: 3.20525853651
56 Clients: 3.15858243718
64 Clients: 3.22914327917
90 Clients: 2.98001251873
120 Clients: 3.06867289895
170 Clients: 3.11527033355
220 Clients: 3.21106427354

Worker: 16

2 Clients: 3.19768038882
8 Clients: 3.08598315053
16 Clients: 3.31513692452
24 Clients: 3.35094939681
32 Clients: 3.29366394613
40 Clients: 3.54648969604
48 Clients: 3.2139737097
56 Clients: 3.42477610686
64 Clients: 3.03489071001
90 Clients: 3.50381406673
120 Clients: 3.08333525945
170 Clients: 3.23255451583
220 Clients: 3.22088813324

Worker: 32

2 Clients: 3.33121907942
8 Clients: 3.27882129156
16 Clients: 3.63498158663
24 Clients: 3.39686690191
32 Clients: 3.27571277909
40 Clients: 3.24881313695
48 Clients: 3.12377599802
56 Clients: 3.52364856885
64 Clients: 3.49927449453
90 Clients: 3.99083883438
120 Clients: 4.1863583561
170 Clients: 4.21849785425
220 Clients: 4.13148692073

Worker: 64

2 Clients: 3.05141337187
8 Clients: 3.75582485462
16 Clients: 3.12323418596
24 Clients: 2.84963813271
32 Clients: 3.06311697404
40 Clients: 3.09428498953
48 Clients: 3.12001741068
56 Clients: 3.30797069127
64 Clients: 3.17467554016
90 Clients: 4.43423375151
120 Clients: 5.39676584238
170 Clients: 5.9860208016
220 Clients: 7.13091395893
