Mean Response Time

Worker: 8

2 Clients: 3.94297807724
8 Clients: 3.98806812291
16 Clients: 5.23447169837
24 Clients: 6.6695807364
32 Clients: 7.68694483425
40 Clients: 10.5650716637
48 Clients: 14.3607960621
56 Clients: 17.407589329
64 Clients: 21.0376661798
90 Clients: 29.1095238017
120 Clients: 41.5740962949
170 Clients: 61.1652835825
220 Clients: 83.9152644281

Worker: 16

2 Clients: 3.50683191829
8 Clients: 3.52396538115
16 Clients: 4.02246252678
24 Clients: 4.63571087813
32 Clients: 5.02842349312
40 Clients: 6.52527951472
48 Clients: 6.62415865245
56 Clients: 8.15947032935
64 Clients: 7.96867541648
90 Clients: 14.4148037078
120 Clients: 18.18011157
170 Clients: 29.4540703692
220 Clients: 39.6468918048

Worker: 32

2 Clients: 3.62619788082
8 Clients: 3.82417396436
16 Clients: 4.33692396232
24 Clients: 4.28510927534
32 Clients: 4.31967215883
40 Clients: 4.59001108887
48 Clients: 4.70246596401
56 Clients: 5.75217935519
64 Clients: 5.78280110901
90 Clients: 8.22408366987
120 Clients: 10.7201833253
170 Clients: 16.6342146722
220 Clients: 22.6288318519

Worker: 64

2 Clients: 3.33250948586
8 Clients: 4.23694334978
16 Clients: 3.76058073482
24 Clients: 3.65551026087
32 Clients: 4.01201038899
40 Clients: 4.1730341707
48 Clients: 4.45269612126
56 Clients: 4.86749360046
64 Clients: 4.74220447533
90 Clients: 7.06474652345
120 Clients: 9.22583359455
170 Clients: 11.8655097128
220 Clients: 16.7644479326
