Mean Service Time

Worker: 8

2 Clients: 3.67659483537
8 Clients: 3.64343122076
16 Clients: 3.55224151241
24 Clients: 3.28231237481
32 Clients: 2.97916430783
40 Clients: 3.08884802861
48 Clients: 3.32254544862
56 Clients: 3.20189685334
64 Clients: 3.27357630307
90 Clients: 3.02328135877
120 Clients: 3.11166192838
170 Clients: 3.16050237654
220 Clients: 3.25271046176

Worker: 16

2 Clients: 3.26789271973
8 Clients: 3.14211731415
16 Clients: 3.39615991149
24 Clients: 3.40933277567
32 Clients: 3.33849829494
40 Clients: 3.61503683345
48 Clients: 3.25791681328
56 Clients: 3.47083151319
64 Clients: 3.11339798943
90 Clients: 3.55149457422
120 Clients: 3.12476090458
170 Clients: 3.27359087284
220 Clients: 3.2663592986

Worker: 32

2 Clients: 3.40401062996
8 Clients: 3.37758885537
16 Clients: 3.69745347635
24 Clients: 3.46960379163
32 Clients: 3.33959822235
40 Clients: 3.30682130334
48 Clients: 3.17993867829
56 Clients: 3.60405868038
64 Clients: 3.57489235125
90 Clients: 4.16776568544
120 Clients: 4.25112052166
170 Clients: 4.29120175933
220 Clients: 4.20726630404

Worker: 64

2 Clients: 3.1226876441
8 Clients: 3.82075285921
16 Clients: 3.18393770359
24 Clients: 2.90998296683
32 Clients: 3.11689501069
40 Clients: 3.15536482102
48 Clients: 3.18257815886
56 Clients: 3.38101657543
64 Clients: 3.2362330012
90 Clients: 4.51443076388
120 Clients: 5.48514907445
170 Clients: 6.09832385178
220 Clients: 7.23641242149
