Mean Waiting Time

Worker: 8

2 Clients: 0.266383241873
8 Clients: 0.34463690215
16 Clients: 1.68223018596
24 Clients: 3.38726836159
32 Clients: 4.70778052642
40 Clients: 7.47622363508
48 Clients: 11.0382506135
56 Clients: 14.2056924756
64 Clients: 17.7640898767
90 Clients: 26.0862424429
120 Clients: 38.4624343665
170 Clients: 58.0047812059
220 Clients: 80.6625539664

Worker: 16

2 Clients: 0.238939198559
8 Clients: 0.381848066996
16 Clients: 0.626302615285
24 Clients: 1.22637810245
32 Clients: 1.68992519817
40 Clients: 2.91024268127
48 Clients: 3.36624183917
56 Clients: 4.68863881617
64 Clients: 4.85527742705
90 Clients: 10.8633091336
120 Clients: 15.0553506654
170 Clients: 26.1804794964
220 Clients: 36.3805325062

Worker: 32

2 Clients: 0.22218725086
8 Clients: 0.446585108993
16 Clients: 0.639470485969
24 Clients: 0.815505483707
32 Clients: 0.980073936487
40 Clients: 1.28318978553
48 Clients: 1.52252728572
56 Clients: 2.14812067481
64 Clients: 2.20790875776
90 Clients: 4.05631798443
120 Clients: 6.46906280363
170 Clients: 12.3430129128
220 Clients: 18.4215655478

Worker: 64

2 Clients: 0.209821841754
8 Clients: 0.41619049057
16 Clients: 0.576643031235
24 Clients: 0.745527294042
32 Clients: 0.895115378302
40 Clients: 1.01766934968
48 Clients: 1.27011796239
56 Clients: 1.48647702503
64 Clients: 1.50597147414
90 Clients: 2.55031575958
120 Clients: 3.7406845201
170 Clients: 5.76718586106
220 Clients: 9.52803551109
