Mean Processing Time

Worker: 8

2 Clients: 3.24223064128
8 Clients: 3.75419614721
16 Clients: 3.15568812656
24 Clients: 3.09462094269
32 Clients: 3.03388113515
40 Clients: 3.07578745179
48 Clients: 3.02882715222
56 Clients: 2.99967342844
64 Clients: 3.3632160859
90 Clients: 3.21378502626
120 Clients: 3.12380705309
170 Clients: 3.09401093496
220 Clients: 3.13295580085

Worker: 16

2 Clients: 3.36456574996
8 Clients: 3.97635704914
16 Clients: 3.1463417373
24 Clients: 3.20586430815
32 Clients: 3.41365424018
40 Clients: 3.25408250235
48 Clients: 3.43334166664
56 Clients: 3.11700419744
64 Clients: 3.39348843768
90 Clients: 3.25427325927
120 Clients: 3.49273375416
170 Clients: 3.30765453407
220 Clients: 3.34504705805

Worker: 32

2 Clients: 3.54112684628
8 Clients: 3.15807346117
16 Clients: 3.02145609582
24 Clients: 2.9238938481
32 Clients: 3.05154005962
40 Clients: 2.96638026203
48 Clients: 3.02876102025
56 Clients: 3.4604819993
64 Clients: 3.44496798322
90 Clients: 3.60392318799
120 Clients: 3.39885878303
170 Clients: 3.89883770822
220 Clients: 3.67716935981

Worker: 64

2 Clients: 3.22696925367
8 Clients: 3.47419986576
16 Clients: 3.0471891933
24 Clients: 3.12438577318
32 Clients: 2.95101593213
40 Clients: 3.71216473377
48 Clients: 3.58649286535
56 Clients: 3.1161567592
64 Clients: 2.93544769621
90 Clients: 3.68897588548
120 Clients: 4.68347587631
170 Clients: 5.2002023751
220 Clients: 5.86006221225
