Mean Total Time

Worker: 8

2 Clients: 3.83862578871
8 Clients: 4.20112605793
16 Clients: 4.69329039462
24 Clients: 6.28395657459
32 Clients: 7.98349747807
40 Clients: 10.5139263333
48 Clients: 13.3469551269
56 Clients: 16.2842636104
64 Clients: 21.8517396594
90 Clients: 31.4208930249
120 Clients: 42.1847708349
170 Clients: 61.0713750736
220 Clients: 80.7145256702

Worker: 16

2 Clients: 3.63959051459
8 Clients: 4.4979106991
16 Clients: 3.61647180647
24 Clients: 4.38124881941
32 Clients: 5.08841945051
40 Clients: 5.81915283591
48 Clients: 7.0122078796
56 Clients: 7.24469032203
64 Clients: 8.9392370365
90 Clients: 13.1835999731
120 Clients: 21.5067248834
170 Clients: 29.9267676921
220 Clients: 40.4534236623

Worker: 32

2 Clients: 3.85994757208
8 Clients: 3.59004624794
16 Clients: 3.55284861373
24 Clients: 3.5626001123
32 Clients: 3.76069365374
40 Clients: 4.0432471434
48 Clients: 4.44698674879
56 Clients: 5.18550359952
64 Clients: 5.40015370061
90 Clients: 7.18927404636
120 Clients: 8.43100862495
170 Clients: 15.1458416064
220 Clients: 19.4675042499

Worker: 64

2 Clients: 3.67958094833
8 Clients: 3.93181306854
16 Clients: 3.65680989213
24 Clients: 3.85462897669
32 Clients: 3.95872385014
40 Clients: 4.75980210132
48 Clients: 4.85402979545
56 Clients: 4.40657119222
64 Clients: 4.044184038
90 Clients: 5.72584028121
120 Clients: 7.57193264042
170 Clients: 10.0474822089
220 Clients: 13.5922863109
