Mean Processing Time

Worker: 8

4 Clients: 2.81386408119
16 Clients: 3.09186305155
32 Clients: 3.34769661606
48 Clients: 3.5672820678
64 Clients: 3.49253871364
80 Clients: 3.40829495243
96 Clients: 3.06772560466
112 Clients: 2.9528055608
128 Clients: 3.51726543131
180 Clients: 3.03452119803
240 Clients: 3.09440435976
340 Clients: 3.46163314452

Worker: 16

4 Clients: 2.68240691921
16 Clients: 2.98201755518
32 Clients: 3.33299470248
48 Clients: 3.79355963123
64 Clients: 4.2927467445
80 Clients: 4.66629887201
96 Clients: 4.6068517804
112 Clients: 3.89095865338
128 Clients: 3.67922944323
180 Clients: 3.74090739994
240 Clients: 3.42791434324
340 Clients: 3.78305759959

Worker: 32

4 Clients: 2.9666979245
16 Clients: 3.12881813549
32 Clients: 3.24151754383
48 Clients: 3.66858324445
64 Clients: 3.86605565553
80 Clients: 4.2654523501
96 Clients: 4.91802156913
112 Clients: 4.56742773906
128 Clients: 5.77175843281
180 Clients: 5.99118094285
240 Clients: 6.49064619113
340 Clients: 6.64406134745

Worker: 64

4 Clients: 2.76345935098
16 Clients: 2.95286639436
32 Clients: 3.07358667117
48 Clients: 3.82717903
64 Clients: 3.83903118683
80 Clients: 4.34522733915
96 Clients: 4.70784627382
112 Clients: 4.12081411573
128 Clients: 5.60381122779
180 Clients: 7.56712357841
240 Clients: 9.75221930657
340 Clients: 11.3812295484
