Mean Response Time

Worker: 8

4 Clients: 3.10257026381
16 Clients: 3.47325796034
32 Clients: 4.90485794266
48 Clients: 6.99017644687
64 Clients: 8.94662535242
80 Clients: 11.3610106822
96 Clients: 12.5861652864
112 Clients: 15.0861353105
128 Clients: 21.8319432413
180 Clients: 28.7460365445
240 Clients: 41.135931833
340 Clients: 67.5785707825

Worker: 16

4 Clients: 2.9482407173
16 Clients: 3.38248607355
32 Clients: 3.87653635697
48 Clients: 5.10336227297
64 Clients: 6.18429360834
80 Clients: 8.00209876995
96 Clients: 9.19718119648
112 Clients: 9.15340597083
128 Clients: 9.77340750727
180 Clients: 14.8521990344
240 Clients: 19.660041735
340 Clients: 33.2157550004

Worker: 32

4 Clients: 3.33446669484
16 Clients: 3.86051657116
32 Clients: 3.95520297255
48 Clients: 4.43033495262
64 Clients: 4.6411094148
80 Clients: 5.66134423191
96 Clients: 6.71456734146
112 Clients: 6.53395317682
128 Clients: 8.42787808552
180 Clients: 12.4276379627
240 Clients: 17.9481805184
340 Clients: 27.534197213

Worker: 64

4 Clients: 3.05120592197
16 Clients: 3.42950166095
32 Clients: 3.7771781227
48 Clients: 4.79628899331
64 Clients: 4.82070629788
80 Clients: 5.69818946916
96 Clients: 6.44103211615
112 Clients: 5.33849924565
128 Clients: 7.6926593686
180 Clients: 10.5712838076
240 Clients: 15.3716830854
340 Clients: 23.4833381125
