Mean Service Time

Worker: 8

4 Clients: 2.88833694145
16 Clients: 3.15382473372
32 Clients: 3.40521891881
48 Clients: 3.61939251727
64 Clients: 3.55273326518
80 Clients: 3.45284997211
96 Clients: 3.11150741223
112 Clients: 2.99303200459
128 Clients: 3.56490483222
180 Clients: 3.07888517532
240 Clients: 3.13485994085
340 Clients: 3.50996866557

Worker: 16

4 Clients: 2.76715503381
16 Clients: 3.03764564877
32 Clients: 3.39532751205
48 Clients: 3.84933740088
64 Clients: 4.34917733755
80 Clients: 4.7357520776
96 Clients: 4.77317552937
112 Clients: 4.09696071865
128 Clients: 3.73470869178
180 Clients: 3.80030751136
240 Clients: 3.48143219441
340 Clients: 3.84140812742

Worker: 32

4 Clients: 3.11071942411
16 Clients: 3.31623483837
32 Clients: 3.33286730892
48 Clients: 3.73511392599
64 Clients: 3.92503329042
80 Clients: 4.32249215147
96 Clients: 5.07291865755
112 Clients: 4.63505895664
128 Clients: 5.87973932195
180 Clients: 6.10450761831
240 Clients: 6.5819632796
340 Clients: 6.73923837191

Worker: 64

4 Clients: 2.83576401914
16 Clients: 3.01307719191
32 Clients: 3.13951852564
48 Clients: 3.90213620594
64 Clients: 3.90610514381
80 Clients: 4.44732571803
96 Clients: 4.81855110761
112 Clients: 4.18124941203
128 Clients: 5.93960525855
180 Clients: 7.66253141404
240 Clients: 9.83473234671
340 Clients: 11.4821410827
