Mean Total Time

Worker: 8

4 Clients: 3.1196591604
16 Clients: 3.4815136875
32 Clients: 4.91232688138
48 Clients: 7.00255934847
64 Clients: 8.96147284901
80 Clients: 11.3757472757
96 Clients: 12.6107707103
112 Clients: 15.0991012986
128 Clients: 21.8463525613
180 Clients: 28.7605414255
240 Clients: 41.1496991831
340 Clients: 67.6057384634

Worker: 16

4 Clients: 2.99134303646
16 Clients: 3.39222962901
32 Clients: 3.88410344578
48 Clients: 5.11448019522
64 Clients: 6.19619828793
80 Clients: 8.02074849967
96 Clients: 9.23175353574
112 Clients: 9.1972906883
128 Clients: 9.78565567898
180 Clients: 14.867451778
240 Clients: 19.6696123392
340 Clients: 33.232478123

Worker: 32

4 Clients: 3.362856963
16 Clients: 3.87698062468
32 Clients: 3.96431699237
48 Clients: 4.44073001557
64 Clients: 4.64922231798
80 Clients: 5.67494231724
96 Clients: 6.74244672604
112 Clients: 6.54324297306
128 Clients: 8.45695712772
180 Clients: 12.441542274
240 Clients: 17.9631052962
340 Clients: 27.5481511284

Worker: 64

4 Clients: 3.07303945564
16 Clients: 3.43770678471
32 Clients: 3.78595490478
48 Clients: 4.80801503056
64 Clients: 4.82934713475
80 Clients: 5.71113377912
96 Clients: 6.45874634105
112 Clients: 5.34846108242
128 Clients: 7.73216560896
180 Clients: 10.5911950142
240 Clients: 15.3832908174
340 Clients: 23.4970183488
