Mean Processing Time

Worker: 8

4 Clients: 3.00807688307
16 Clients: 3.00866082584
32 Clients: 3.52541845278
48 Clients: 3.54374795666
64 Clients: 3.17351174567
80 Clients: 3.17504923771
96 Clients: 3.18815940023
112 Clients: 3.12506744442
128 Clients: 3.09846841444
180 Clients: 3.1028020076
240 Clients: 3.24818171244
340 Clients: 3.2002440551

Worker: 16

4 Clients: 2.71245500883
16 Clients: 2.88914307984
32 Clients: 3.26549292512
48 Clients: 3.68231139751
64 Clients: 3.78657808333
80 Clients: 4.02013257585
96 Clients: 3.87811423525
112 Clients: 3.70950387574
128 Clients: 3.44012848095
180 Clients: 3.4548827223
240 Clients: 3.57946890703
340 Clients: 3.94792485603

Worker: 32

4 Clients: 3.08472343067
16 Clients: 2.9075360512
32 Clients: 3.3722599588
48 Clients: 3.42493903484
64 Clients: 3.61188703239
80 Clients: 3.88557951645
96 Clients: 4.36158646177
112 Clients: 4.59325822249
128 Clients: 4.52348823815
180 Clients: 5.37246184001
240 Clients: 5.40664721359
340 Clients: 5.92618832218

Worker: 64

4 Clients: 2.71310984547
16 Clients: 2.89165668999
32 Clients: 3.28910536876
48 Clients: 3.4395109435
64 Clients: 3.39690497249
80 Clients: 3.91891255597
96 Clients: 4.21125402909
112 Clients: 4.26846334815
128 Clients: 4.15000901824
180 Clients: 5.31252066615
240 Clients: 6.99916632664
340 Clients: 8.17022590929
