Mean Response Time

Worker: 8

4 Clients: 3.4159127693
16 Clients: 3.34896530909
32 Clients: 5.19590418437
48 Clients: 6.89040588875
64 Clients: 7.956466172
80 Clients: 10.3079945215
96 Clients: 13.1150638167
112 Clients: 16.1352110353
128 Clients: 19.1028516547
180 Clients: 28.9442287386
240 Clients: 42.4943803342
340 Clients: 61.9655028977

Worker: 16

4 Clients: 2.92316146513
16 Clients: 3.27799418304
32 Clients: 3.85137444555
48 Clients: 5.05919998242
64 Clients: 5.44992280352
80 Clients: 6.81542078026
96 Clients: 7.68985586067
112 Clients: 8.57038991456
128 Clients: 8.84240480207
180 Clients: 13.6022428084
240 Clients: 20.3528667509
340 Clients: 34.1087837361

Worker: 32

4 Clients: 3.4869048119
16 Clients: 3.3367893914
32 Clients: 3.8907891467
48 Clients: 4.13219400737
64 Clients: 4.45511253234
80 Clients: 4.99457894119
96 Clients: 5.84268450967
112 Clients: 6.45397407596
128 Clients: 6.59937534643
180 Clients: 10.7567643783
240 Clients: 14.4810184103
340 Clients: 23.8729281211

Worker: 64

4 Clients: 2.99666019051
16 Clients: 3.34360819721
32 Clients: 4.09415033795
48 Clients: 4.23828879463
64 Clients: 4.23018144594
80 Clients: 4.82218893479
96 Clients: 5.85446278406
112 Clients: 5.99702285032
128 Clients: 5.36385515209
180 Clients: 7.29189973424
240 Clients: 10.4654376488
340 Clients: 15.979802161
