Mean Service Time

Worker: 8

4 Clients: 3.20659148352
16 Clients: 3.04472276664
32 Clients: 3.63719482804
48 Clients: 3.57580390781
64 Clients: 3.20916126994
80 Clients: 3.20418486041
96 Clients: 3.22845400627
112 Clients: 3.1552372029
128 Clients: 3.12647197722
180 Clients: 3.13196893761
240 Clients: 3.33947248789
340 Clients: 3.230689642

Worker: 16

4 Clients: 2.77149808113
16 Clients: 2.94613666926
32 Clients: 3.33163535009
48 Clients: 3.81340392854
64 Clients: 3.82376590864
80 Clients: 4.05599153837
96 Clients: 4.05159431744
112 Clients: 3.74471372943
128 Clients: 3.47083329096
180 Clients: 3.48523818093
240 Clients: 3.60900475179
340 Clients: 3.98377496231

Worker: 32

4 Clients: 3.24016031405
16 Clients: 2.95845362873
32 Clients: 3.4130888869
48 Clients: 3.46928139911
64 Clients: 3.65663076937
80 Clients: 3.92068620797
96 Clients: 4.40572745547
112 Clients: 4.63181475443
128 Clients: 4.56146092715
180 Clients: 5.42845519229
240 Clients: 5.44656745616
340 Clients: 5.98373576004

Worker: 64

4 Clients: 2.76828995811
16 Clients: 2.93990460568
32 Clients: 3.34702516746
48 Clients: 3.49961473577
64 Clients: 3.43601333027
80 Clients: 3.96714293877
96 Clients: 4.55254654568
112 Clients: 4.31498222185
128 Clients: 4.21314827276
180 Clients: 5.34901159907
240 Clients: 7.05365753184
340 Clients: 8.35606204578
