Mean Total Time

Worker: 8

4 Clients: 3.47606102212
16 Clients: 3.36349853099
32 Clients: 5.22883398027
48 Clients: 6.91122563098
64 Clients: 7.97821221886
80 Clients: 10.3264921014
96 Clients: 13.141427588
112 Clients: 16.1552503501
128 Clients: 19.1273080558
180 Clients: 28.9710581132
240 Clients: 42.5205463545
340 Clients: 61.9870915751

Worker: 16

4 Clients: 2.95022680124
16 Clients: 3.29224582598
32 Clients: 3.86555523163
48 Clients: 5.08670293965
64 Clients: 5.46879416666
80 Clients: 6.83978830859
96 Clients: 7.73172002251
112 Clients: 8.58937965127
128 Clients: 8.86401352581
180 Clients: 13.6223228421
240 Clients: 20.3723917015
340 Clients: 34.1335139289

Worker: 32

4 Clients: 3.52368558419
16 Clients: 3.3552018857
32 Clients: 3.90583316611
48 Clients: 4.15069876975
64 Clients: 4.47538482864
80 Clients: 5.0122373057
96 Clients: 5.86079735996
112 Clients: 6.47120163479
128 Clients: 6.62074928972
180 Clients: 10.7775822634
240 Clients: 14.498354941
340 Clients: 23.8978605833

Worker: 64

4 Clients: 3.02586039563
16 Clients: 3.35867643141
32 Clients: 4.11258508548
48 Clients: 4.26193651234
64 Clients: 4.25007448908
80 Clients: 4.8383338928
96 Clients: 5.92705154528
112 Clients: 6.01909229938
128 Clients: 5.37978849494
180 Clients: 7.30672138233
240 Clients: 10.4830854567
340 Clients: 15.9979525528
