Mean Waiting Time

Worker: 8

4 Clients: 0.209321285779
16 Clients: 0.304242542454
32 Clients: 1.55870935633
48 Clients: 3.31460198094
64 Clients: 4.74730490205
80 Clients: 7.10380966106
96 Clients: 9.88660981039
112 Clients: 12.9799738324
128 Clients: 15.9763796774
180 Clients: 25.812259801
240 Clients: 39.1549078463
340 Clients: 58.7348132557

Worker: 16

4 Clients: 0.151663384002
16 Clients: 0.331857513781
32 Clients: 0.519739095466
48 Clients: 1.24579605387
64 Clients: 1.62615689487
80 Clients: 2.7594292419
96 Clients: 3.63826154323
112 Clients: 4.82567618513
128 Clients: 5.37157151111
180 Clients: 10.1170046274
240 Clients: 16.7438619991
340 Clients: 30.1250087738

Worker: 32

4 Clients: 0.24674449785
16 Clients: 0.378335762667
32 Clients: 0.477700259807
48 Clients: 0.662912608254
64 Clients: 0.798481762973
80 Clients: 1.07389273322
96 Clients: 1.4369570542
112 Clients: 1.82215932154
128 Clients: 2.03791441929
180 Clients: 5.32830918599
240 Clients: 9.03445095413
340 Clients: 17.8891923611

Worker: 64

4 Clients: 0.228370232405
16 Clients: 0.403703591531
32 Clients: 0.747125170487
48 Clients: 0.738674058857
64 Clients: 0.794168115672
80 Clients: 0.85504599602
96 Clients: 1.30191623838
112 Clients: 1.68204062847
128 Clients: 1.15070687933
180 Clients: 1.94288813517
240 Clients: 3.41178011697
340 Clients: 7.62374011521
