Mean Interarrival Time

Worker: 8

2 Clients: 6.20288554211
8 Clients: 1.46959238212
16 Clients: 0.799361498286
24 Clients: 0.478160053011
32 Clients: 0.418013906058
40 Clients: 0.369258405763
48 Clients: 0.359510442809
56 Clients: 0.331736370812
64 Clients: 0.322841795763
90 Clients: 0.287079259246
120 Clients: 0.312844199247
170 Clients: 0.296176611607
220 Clients: 0.306651529895

Worker: 16

2 Clients: 6.31953018397
8 Clients: 1.4701410513
16 Clients: 0.675495978903
24 Clients: 0.536756381088
32 Clients: 0.40905040315
40 Clients: 0.383680509124
48 Clients: 0.340404592537
56 Clients: 0.307165475853
64 Clients: 0.291681621593
90 Clients: 0.265335693728
120 Clients: 0.249996477278
170 Clients: 0.235928539595
220 Clients: 0.23546570628

Worker: 32

2 Clients: 7.06908962764
8 Clients: 1.35241473385
16 Clients: 0.691770235715
24 Clients: 0.512139448835
32 Clients: 0.392686774375
40 Clients: 0.346751114288
48 Clients: 0.304956422002
56 Clients: 0.296417774465
64 Clients: 0.280616746629
90 Clients: 0.250513149531
120 Clients: 0.228512804625
170 Clients: 0.207520235261
220 Clients: 0.199782187063

Worker: 64

2 Clients: 5.52188110008
8 Clients: 1.424648609
16 Clients: 0.725012352122
24 Clients: 0.504283328672
32 Clients: 0.429856021175
40 Clients: 0.360021739137
48 Clients: 0.338992756203
56 Clients: 0.310627682115
64 Clients: 0.307501828012
90 Clients: 0.258263731438
120 Clients: 0.230563949128
170 Clients: 0.210097487424
220 Clients: 0.203004403361
