Mean Queue Length

Worker: 8

2 Clients: 0.197432581506
8 Clients: 1.41921639798
16 Clients: 3.1023929072
24 Clients: 4.48109673609
32 Clients: 7.70422978874
40 Clients: 12.3885801458
48 Clients: 18.2165654984
56 Clients: 24.2062127625
64 Clients: 29.6170143483
90 Clients: 52.1641210315
120 Clients: 80.3231525895
170 Clients: 123.585985367
220 Clients: 169.701091838

Worker: 16

2 Clients: 0.181797957147
8 Clients: 1.26575874469
16 Clients: 2.49709679253
24 Clients: 4.52718327173
32 Clients: 6.29579874947
40 Clients: 9.06540191425
48 Clients: 10.382552454
56 Clients: 12.3166190539
64 Clients: 15.2939494655
90 Clients: 27.6277799717
120 Clients: 45.1554737739
170 Clients: 82.9957548149
220 Clients: 119.064788112

Worker: 32

2 Clients: 0.200111880771
8 Clients: 0.956086627118
16 Clients: 2.35624399864
24 Clients: 4.04751272789
32 Clients: 5.44599072067
40 Clients: 7.28055517335
48 Clients: 7.33751988611
56 Clients: 10.8311123595
64 Clients: 11.6232156891
90 Clients: 19.6027845965
120 Clients: 28.9323385657
170 Clients: 49.6767801843
220 Clients: 76.0689406811

Worker: 64

2 Clients: 0.184589656913
8 Clients: 0.971416726235
16 Clients: 2.30045703645
24 Clients: 4.00042868239
32 Clients: 5.49495453175
40 Clients: 6.62231839957
48 Clients: 8.68120626596
56 Clients: 11.1680216945
64 Clients: 12.5450330897
90 Clients: 18.843611854
120 Clients: 27.0981195691
170 Clients: 42.4174387074
220 Clients: 55.4433974284
