Mean Queue Length

Worker: 8

2 Clients: 0.117186717614
8 Clients: 0.708779440073
16 Clients: 1.79988266097
24 Clients: 3.80593777568
32 Clients: 6.52375152918
40 Clients: 12.1697287656
48 Clients: 17.638486363
56 Clients: 24.4782402549
64 Clients: 30.4894997212
90 Clients: 52.7806327561
120 Clients: 78.291603503
170 Clients: 125.333119045
220 Clients: 172.566243904

Worker: 16

2 Clients: 0.115815034921
8 Clients: 0.683120248681
16 Clients: 1.88299402053
24 Clients: 3.18981292793
32 Clients: 4.52019096279
40 Clients: 6.55414285062
48 Clients: 8.11591656933
56 Clients: 11.7240586164
64 Clients: 14.6084014655
90 Clients: 31.3717608636
120 Clients: 52.9007914734
170 Clients: 91.433573663
220 Clients: 138.653557064

Worker: 32

2 Clients: 0.0952463007745
8 Clients: 0.647524146938
16 Clients: 1.72081667661
24 Clients: 3.14388884834
32 Clients: 4.18722453242
40 Clients: 5.84574268819
48 Clients: 7.23518232003
56 Clients: 7.93830014257
64 Clients: 9.60615972645
90 Clients: 16.8458749071
120 Clients: 27.1723059899
170 Clients: 56.0593244066
220 Clients: 83.0592286007

Worker: 64

2 Clients: 0.118398270667
8 Clients: 0.607380650283
16 Clients: 1.8159671917
24 Clients: 3.15295838205
32 Clients: 4.50944887666
40 Clients: 5.68595972871
48 Clients: 7.27982534753
56 Clients: 8.28128125335
64 Clients: 9.61547374091
90 Clients: 13.9636724288
120 Clients: 18.7358661488
170 Clients: 31.5147705026
220 Clients: 46.1641721711
