Mean Queue Length

Worker: 8

6 Clients: 0.595441524536
24 Clients: 3.8335378913
48 Clients: 17.010558991
72 Clients: 36.214964442
96 Clients: 57.7058889241
120 Clients: 80.3036898925
144 Clients: 104.149208663
168 Clients: 126.183014719
192 Clients: 152.109823904
240 Clients: 202.181949091

Worker: 16

6 Clients: 0.50656283967
24 Clients: 2.28492469334
48 Clients: 9.5795604525
72 Clients: 22.2186586223
96 Clients: 38.6767306808
120 Clients: 61.9973772989
144 Clients: 84.4806057625
168 Clients: 102.389097488
192 Clients: 126.456104683
240 Clients: 175.303577713

Worker: 32

6 Clients: 0.435994878286
24 Clients: 2.79632901323
48 Clients: 5.7282569307
72 Clients: 11.0351461054
96 Clients: 22.0023792078
120 Clients: 31.9477615161
144 Clients: 46.3178534343
168 Clients: 66.1450090042
192 Clients: 87.7043149043
240 Clients: 126.220353824

Worker: 64

6 Clients: 0.359083796228
24 Clients: 2.82885760165
48 Clients: 6.42844392411
72 Clients: 10.8473687811
96 Clients: 15.952544764
120 Clients: 20.557624011
144 Clients: 30.4006839139
168 Clients: 34.9608792058
192 Clients: 45.1687067881
240 Clients: 67.4134170726
