Mean Service Time

Worker: 8

6 Clients: 2.13098289884
24 Clients: 2.314847492
48 Clients: 2.40714494483
72 Clients: 2.51879439861
96 Clients: 2.76484676569
120 Clients: 2.67581870083
144 Clients: 2.78851518863
168 Clients: 2.93281586043
192 Clients: 2.81289282217
240 Clients: 2.89801685883

Worker: 16

6 Clients: 1.99176255396
24 Clients: 2.7262138308
48 Clients: 3.52364788293
72 Clients: 3.96584909508
96 Clients: 4.28503865579
120 Clients: 4.47280697006
144 Clients: 4.62401272658
168 Clients: 4.68927614227
192 Clients: 4.72702150272
240 Clients: 4.88005119712

Worker: 32

6 Clients: 1.73158947067
24 Clients: 2.637821677
48 Clients: 3.79638260372
72 Clients: 4.71509038438
96 Clients: 5.72642619005
120 Clients: 6.05296120816
144 Clients: 6.69777427965
168 Clients: 7.25225310183
192 Clients: 7.31849584718
240 Clients: 7.24282055551

Worker: 64

6 Clients: 1.86162169685
24 Clients: 2.76049960087
48 Clients: 3.9162660005
72 Clients: 5.16721556197
96 Clients: 6.00162349744
120 Clients: 7.29966022245
144 Clients: 8.21319108557
168 Clients: 8.67413597374
192 Clients: 9.53382742208
240 Clients: 11.0205070643
